tile,action,def
196,mutator,AB_AncientFreezingVent
376,mutator,AB_AncientGreyPallVent
377,mutator,AB_AncientFreezingVent
401,mutator,AB_AncientDeathPallVent
455,mutator,AB_AncientFreezingVent
482,mutator,AB_AncientBloodRainVent
486,mutator,AB_AncientFreezingVent
915,mutator,AB_AncientDeathPallVent
917,mutator,AB_AncientFreezingVent
918,mutator,AncientToxVent
1023,mutator,AncientToxVent
1023,mutator,UndergroundCave
1094,mutator,AB_AncientGreyPallVent
1353,mutator,AB_AncientBloodRainVent
1801,mutator,AncientSmokeVent
1890,mutator,AB_AncientBloodRainVent
1965,mutator,AncientSmokeVent
1976,mutator,AB_AncientBloodRainVent
1977,mutator,AncientSmokeVent
1979,mutator,AB_AncientFreezingVent
1979,mutator,UndergroundCave
1981,mutator,AB_AncientGreyPallVent
2147,mutator,AncientSmokeVent
2192,mutator,AB_AncientGreyPallVent
2220,mutator,AB_AncientDeathPallVent
2627,mutator,AB_AncientBloodRainVent
2629,mutator,AB_AncientBloodRainVent
2643,mutator,AB_AncientGreyPallVent
2719,mutator,AB_AncientDeathPallVent
3374,mutator,AB_AncientBloodRainVent
3416,mutator,AB_AncientFreezingVent
3416,mutator,FoggyMutator
3417,mutator,AB_AncientGreyPallVent
3421,mutator,AB_AncientFreezingVent
3421,mutator,UndergroundCave
3597,mutator,AncientSmokeVent
3773,mutator,AB_AncientBloodRainVent
3814,mutator,AB_AncientFreezingVent
4669,mutator,AB_AncientGreyPallVent
4678,mutator,AncientSmokeVent
4678,mutator,FoggyMutator
4680,mutator,AB_AncientFreezingVent
4682,mutator,UndergroundCave
4683,mutator,AncientSmokeVent
4684,mutator,AB_AncientFreezingVent
4685,mutator,AB_AncientBloodRainVent
4688,mutator,AncientSmokeVent
4694,mutator,AB_AncientBloodRainVent
4695,mutator,AB_AncientGreyPallVent
4826,mutator,AB_AncientFreezingVent
4828,mutator,AB_AncientFreezingVent
4829,mutator,AB_AncientFreezingVent
4831,mutator,AB_AncientDeathPallVent
4893,mutator,AncientToxVent
4896,mutator,AB_AncientGreyPallVent
4896,mutator,FoggyMutator
5215,mutator,AB_AncientFreezingVent
5234,mutator,AB_AncientBloodRainVent
5234,mutator,FoggyMutator
5237,mutator,AB_AncientGreyPallVent
5238,mutator,AncientToxVent
5319,mutator,UndergroundCave
5552,mutator,AB_AncientDeathPallVent
5558,mutator,AB_AncientGreyPallVent
5562,mutator,AncientToxVent
5647,mutator,AB_AncientFreezingVent
5693,mutator,AB_AncientDeathPallVent
5694,mutator,AB_AncientFreezingVent
5750,mutator,AB_AncientBloodRainVent
5751,mutator,AB_AncientGreyPallVent
5751,mutator,FoggyMutator
5768,mutator,AB_AncientGreyPallVent
6851,mutator,AB_AncientFreezingVent
6852,mutator,FoggyMutator
6853,mutator,AB_AncientFreezingVent
6990,mutator,AB_AncientBloodRainVent
7245,mutator,AB_AncientFreezingVent
7252,mutator,AB_AncientFreezingVent
7253,mutator,AB_AncientFreezingVent
7502,mutator,AB_AncientGreyPallVent
7503,mutator,AB_AncientFreezingVent
