0 601 ticksGame= 13218 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | wall-cell: ['Wall']
1 601 ticksGame= 13819 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | wall-cell: ['Wall']
2 848 ticksGame= 14667 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | wall-cell: ['Wall']
3 333 ticksGame= 15000 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | wall-cell: ['Wall']
4 601 ticksGame= 15601 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | wall-cell: ['Wall']
5 601 ticksGame= 16202 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | wall-cell: ['Wall']
6 601 ticksGame= 16803 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | wall-cell: ['Wall']
7 600 ticksGame= 17403 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | wall-cell: ['Wall']
8 601 ticksGame= 18004 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | wall-cell: ['Wall']
9 601 ticksGame= 18605 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | wall-cell: ['Wall']
10 601 ticksGame= 19206 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | wall-cell: ['Wall']
11 601 ticksGame= 19807 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | wall-cell: ['Wall']
12 601 ticksGame= 20408 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | wall-cell: ['Wall']
13 601 ticksGame= 21009 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | wall-cell: ['Wall']
14 1844 ticksGame= 22853 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | wall-cell: ['Wall']
15 2500 ticksGame= 25353 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | wall-cell: ['Wall']
16 2163 ticksGame= 27516 | job= GotoWander mentalState= None | wall-cell: ['Wall']
SPREE ENDED
