0 600 endTicksGame= 601 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | cell(111,117): ['Wall']
1 601 endTicksGame= 1202 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | cell(111,117): ['Wall']
2 601 endTicksGame= 1803 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | cell(111,117): ['Wall']
3 601 endTicksGame= 2404 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | cell(111,117): ['Wall']
4 600 endTicksGame= 3004 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | cell(111,117): ['Wall']
5 600 endTicksGame= 3604 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | cell(111,117): ['Wall']
6 600 endTicksGame= 4204 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | cell(111,117): ['Wall']
7 600 endTicksGame= 4804 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | cell(111,117): ['Wall']
8 601 endTicksGame= 5405 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | cell(111,117): ['Wall']
9 601 endTicksGame= 6006 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | cell(111,117): ['Wall']
10 600 endTicksGame= 6606 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | cell(111,117): ['Wall']
11 600 endTicksGame= 7206 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | cell(111,117): ['Wall']
12 601 endTicksGame= 7807 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | cell(111,117): ['Wall']
13 600 endTicksGame= 8407 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | cell(111,117): ['Wall']
14 601 endTicksGame= 9008 | job= RM_PaintGraffitiJob mentalState= RM_GraffitiPaintingSpreeState | cell(111,117): ['Wall']
