tile,n0,n1,n2,n3,n4,n5
0,39971,39972,39974,39973,39970,-1
1,39976,39979,39980,39978,39977,39975
2,39982,39985,39986,39984,39983,39981
3,39988,39990,39989,39991,39992,39987
4,39995,39996,39997,39998,39994,39993
5,40004,40003,40002,40001,40000,39999
6,40006,40009,40010,40008,40007,40005
7,40013,40014,40015,40016,40012,40011
8,40021,40022,40020,40019,40018,40017
9,40024,40026,40025,40027,40028,40023
10,40031,40032,40033,40034,40030,40029
11,40038,40037,40039,40040,40036,40035
12,40042,40046,40045,40044,40043,40041
13,40051,40052,40050,40049,40048,40047
14,40054,40056,40055,40057,40058,40053
15,40060,40064,40063,40062,40061,40059
16,40066,40069,40070,40068,40067,40065
17,40075,40076,40074,40073,40072,40071
18,40078,40079,40080,40081,40082,40077
19,40085,40086,40087,40088,40084,40083
20,40090,40091,40092,40093,40094,40089
21,40097,40098,40099,40100,40096,40095
22,40103,40104,40105,40106,40102,40101
23,40108,40111,40112,40110,40109,40107
24,40117,40118,40116,40115,40114,40113
25,40120,40122,40121,40123,40124,40119
26,40127,40128,40129,40130,40126,40125
27,40132,40136,40135,40134,40133,40131
28,40138,40142,40141,40140,40139,40137
29,40146,40145,40147,40148,40144,40143
30,40153,40154,40152,40151,40150,40149
31,40156,40158,40157,40159,40160,40155
32,40163,40164,40165,40166,40162,40161
33,40168,40172,40171,40170,40169,40167
34,40174,40178,40177,40176,40175,40173
35,40182,40181,40183,40184,40180,40179
36,40189,40190,40188,40187,40186,40185
37,40192,40194,40193,40195,40196,40191
38,40199,40200,40201,40202,40198,40197
39,40204,40206,40205,40207,40208,40203
40,40214,40213,40212,40211,40210,40209
41,40218,40217,40219,40220,40216,40215
42,40222,40224,40223,40225,40226,40221
43,40228,40232,40231,40230,40229,40227
44,40236,40235,40237,40238,40234,40233
45,40241,40242,40243,40244,40240,40239
46,40248,40247,40249,40250,40246,40245
47,40255,40256,40254,40253,40252,40251
48,40258,40262,40261,40260,40259,40257
49,40264,40268,40267,40266,40265,40263
50,40270,40274,40273,40272,40271,40269
51,40276,40280,40279,40278,40277,40275
52,40286,40285,40284,40283,40282,40281
53,40289,40288,40287,-1,-1,-1
54,40291,40292,40290,-1,-1,-1
55,40294,40295,40296,40297,40298,40293
56,40301,40302,40303,40304,40300,40299
57,40307,40308,40309,40310,40306,40305
58,40312,40315,40316,40314,40313,40311
59,40321,40322,40320,40319,40318,40317
60,40324,40325,40326,40327,40328,40323
61,40331,40332,40333,40334,40330,40329
62,40336,40339,40340,40338,40337,40335
63,40342,40345,40346,40344,40343,40341
64,40349,40350,40351,40352,40348,40347
65,40357,40358,40356,40355,40354,40353
66,40360,40361,40362,40363,40364,40359
67,40367,40368,40369,40370,40366,40365
68,40372,40375,40376,40374,40373,40371
69,40378,40381,40382,40380,40379,40377
70,40385,40386,40387,40388,40384,40383
71,40393,40394,40392,40391,40390,40389
72,40396,40397,40398,40399,40400,40395
73,40403,40404,40405,40406,40402,40401
74,40408,40409,40410,40411,40412,40407
75,40417,40418,40416,40415,40414,40413
76,40421,40422,40423,40424,40420,40419
77,40429,40430,40428,40427,40426,40425
78,40432,40433,40434,40435,40436,40431
79,40438,40441,40442,40440,40439,40437
80,40445,40446,40447,40448,40444,40443
81,40451,40452,40453,40454,40450,40449
82,40457,40458,40459,40460,40456,40455
83,40465,40466,40464,40463,40462,40461
84,40468,40469,40470,40471,40472,40467
85,40474,40477,40478,40476,40475,40473
86,40480,40483,40484,40482,40481,40479
