# rimplace flat plan v1
FOOTPRINT	0	0	16	12
THING	Filth_AnimalFilth	0	2	0	-
THING	PowerConduit	0	3	0	-
THING	PowerConduit	0	5	0	-
THING	Filth_AnimalFilth	0	6	0	-
THING	Filth_AnimalFilth	0	7	0	-
THING	PowerConduit	0	8	0	-
THING	Filth_AnimalFilth	0	9	0	-
THING	Filth_AnimalFilth	0	10	0	-
THING	Filth_AnimalFilth	1	0	0	-
THING	Filth_AnimalFilth	1	1	0	-
THING	Filth_AnimalFilth	1	6	0	-
THING	Filth_AnimalFilth	1	8	0	-
THING	Filth_AnimalFilth	2	1	0	-
THING	PowerConduit	2	2	0	-
THING	ChunkSlagSteel	2	4	0	-
THING	Filth_AnimalFilth	2	6	0	-
THING	ChunkSlagSteel	2	9	0	-
THING	Filth_AnimalFilth	3	0	0	-
THING	Filth_AnimalFilth	3	1	0	-
THING	Filth_AnimalFilth	3	2	0	-
THING	Filth_AnimalFilth	3	4	0	-
THING	ChunkSlagSteel	3	5	0	-
THING	Filth_AnimalFilth	3	7	0	-
THING	Filth_AnimalFilth	3	8	0	-
THING	PowerConduit	3	9	0	-
THING	PowerConduit	3	10	0	-
THING	Filth_AnimalFilth	3	11	0	-
THING	Filth_AnimalFilth	4	0	0	-
THING	Filth_AnimalFilth	4	1	0	-
THING	Filth_AnimalFilth	4	3	0	-
THING	Filth_AnimalFilth	4	4	0	-
THING	PowerConduit	4	7	0	-
THING	PowerConduit	4	8	0	-
THING	Filth_AnimalFilth	4	9	0	-
THING	Filth_AnimalFilth	5	1	0	-
THING	ChunkSlagSteel	5	2	0	-
THING	Filth_AnimalFilth	5	4	0	-
THING	ChunkSlagSteel	5	6	0	-
THING	ChunkSlagSteel	5	7	0	-
THING	Filth_AnimalFilth	5	10	0	-
THING	ChunkSlagSteel	6	0	0	-
THING	Filth_AnimalFilth	6	1	0	-
THING	ChunkSlagSteel	6	3	0	-
THING	Filth_AnimalFilth	6	5	0	-
THING	Filth_AnimalFilth	6	8	0	-
THING	ChunkSlagSteel	6	9	0	-
THING	Filth_AnimalFilth	6	10	0	-
THING	Filth_AnimalFilth	7	0	0	-
THING	ChunkSlagSteel	7	2	0	-
THING	ChunkSlagSteel	7	3	0	-
THING	PowerConduit	7	4	0	-
THING	PowerConduit	7	5	0	-
THING	Filth_AnimalFilth	7	8	0	-
THING	PowerConduit	7	9	0	-
THING	Filth_AnimalFilth	7	11	0	-
THING	Filth_AnimalFilth	8	0	0	-
THING	ChunkSlagSteel	8	1	0	-
THING	Filth_AnimalFilth	8	2	0	-
THING	ChunkSlagSteel	8	4	0	-
THING	Filth_AnimalFilth	8	5	0	-
THING	Filth_AnimalFilth	8	7	0	-
THING	ChunkSlagSteel	8	8	0	-
THING	ChunkSlagSteel	8	9	0	-
THING	PowerConduit	8	10	0	-
THING	Filth_AnimalFilth	9	0	0	-
THING	Filth_AnimalFilth	9	5	0	-
THING	Filth_AnimalFilth	9	8	0	-
THING	Filth_AnimalFilth	9	11	0	-
THING	PowerConduit	10	0	0	-
THING	ChunkSlagSteel	10	1	0	-
THING	ChunkSlagSteel	10	2	0	-
THING	PowerConduit	10	3	0	-
THING	Filth_AnimalFilth	10	5	0	-
THING	Filth_AnimalFilth	10	6	0	-
THING	ChunkSlagSteel	10	7	0	-
THING	ChunkSlagSteel	10	9	0	-
THING	Filth_AnimalFilth	10	10	0	-
THING	ChunkSlagSteel	10	11	0	-
THING	ChunkSlagSteel	11	0	0	-
THING	ChunkSlagSteel	11	3	0	-
THING	ChunkSlagSteel	11	4	0	-
THING	Filth_AnimalFilth	11	5	0	-
THING	PowerConduit	11	6	0	-
THING	Filth_AnimalFilth	11	9	0	-
THING	PowerConduit	11	10	0	-
THING	PowerConduit	12	0	0	-
THING	ChunkSlagSteel	12	1	0	-
THING	ChunkSlagSteel	12	4	0	-
THING	Filth_AnimalFilth	12	9	0	-
THING	ChunkSlagSteel	12	10	0	-
THING	PowerConduit	12	11	0	-
THING	Filth_AnimalFilth	13	0	0	-
THING	Filth_AnimalFilth	13	1	0	-
THING	Filth_AnimalFilth	13	2	0	-
THING	ChunkSlagSteel	13	5	0	-
THING	ChunkSlagSteel	13	7	0	-
THING	Filth_AnimalFilth	13	8	0	-
THING	ChunkSlagSteel	13	9	0	-
THING	ChunkSlagSteel	13	10	0	-
THING	Filth_AnimalFilth	14	3	0	-
THING	Filth_AnimalFilth	14	4	0	-
THING	ChunkSlagSteel	14	5	0	-
THING	Filth_AnimalFilth	14	6	0	-
THING	Filth_AnimalFilth	14	7	0	-
THING	PowerConduit	14	9	0	-
THING	Filth_AnimalFilth	14	10	0	-
THING	Filth_AnimalFilth	15	1	0	-
THING	Filth_AnimalFilth	15	5	0	-
THING	ChunkSlagSteel	15	6	0	-
THING	Filth_AnimalFilth	15	8	0	-
THING	Filth_AnimalFilth	15	9	0	-
THING	PowerConduit	15	11	0	-
