river_id,tile,lat,lon,arc,elev_m,biome,water,river_flow,region,degree,dist_from_mouth,is_mouth,is_endpoint,is_branch
R01,256,-23.9221,-35.7468,42.11,267.0,BiomeCypreJungle,0,11206.0,Hollow Verge,2,16,False,False,False
R01,259,-22.6644,-50.4835,54.04,1202.0,AB_OcularForest,0,20.0,Dew Horn,1,28,False,True,False
R01,635,-19.9032,-28.3887,34.19,889.0,BiomeCypreJungle,0,58.0,Dune Sea,2,11,False,False,False
R01,776,-15.2031,-48.814,50.55,727.0,BiomeCypreJungle,0,24.0,Scald Spine,2,30,False,False,False
R01,781,-19.645,-42.4767,46.0,616.0,BiomeCypreJungle,0,36.0,Scald Spine,2,25,False,False,False
R01,1175,-23.7932,-26.1702,34.79,26.0,BiomeCypreJungle,0,10650.0,Dune Sea,3,8,False,False,True
R01,1321,-15.9276,-39.5513,42.14,1143.0,AB_OcularForest,0,4430.0,Scald Spine,2,29,False,False,False
R01,1534,-31.0258,-16.0161,34.55,1.0,ZBiome_Grasslands,0,5042.0,Dune Sea,2,2,False,False,False
R01,1535,-35.2073,-17.9694,38.99,1.0,ZBiome_Grasslands,0,2025.0,Dune Sea,2,5,False,False,False
R01,2338,-19.9846,-33.0269,38.01,1496.0,LavaField,0,32.0,Dune Sea,1,14,False,True,False
R01,2339,-23.9441,-30.9123,38.36,247.0,BiomeCypreJungle,0,49.0,Dune Sea,2,11,False,False,False
R01,2340,-19.9039,-37.727,41.95,930.0,BiomeCypreJungle,0,48.0,Scald Spine,2,20,False,False,False
R01,2341,-23.6995,-40.6395,45.99,308.0,BiomeCypreJungle,0,11014.0,Hollow Verge,3,20,False,False,True
R01,2359,-19.2062,-47.2452,50.13,396.0,BiomeCypreJungle,0,82.0,Hollow Verge,3,26,False,False,True
R01,2795,-24.9884,-23.8179,33.98,70.0,BiomeCypreJungle,0,10422.0,Dune Sea,3,6,False,False,True
R01,2796,-26.1704,-21.3728,33.3,32.0,BiomeCypreJungle,0,9681.0,Dune Sea,2,4,False,False,False
R01,3957,-25.2855,-33.4057,40.99,213.0,BiomeCypreJungle,0,11155.0,Hollow Verge,2,14,False,False,False
R01,3958,-21.2816,-35.4988,40.66,664.0,BiomeCypreJungle,0,64.0,Scald Spine,2,18,False,False,False
R01,3960,-22.5216,-38.0366,43.32,395.0,BiomeCypreJungle,0,11083.0,Scald Spine,3,18,False,False,True
R01,6213,-28.4378,-16.2693,32.42,1.0,ZBiome_Grasslands,0,6932.0,Dune Sea,2,0,True,False,False
R01,6230,-18.5277,-25.9836,31.53,879.0,BiomeCypreJungle,0,48.0,Dune Sea,1,11,False,True,False
R01,6231,-21.1522,-26.1005,33.12,254.0,BiomeCypreJungle,0,71.0,Dune Sea,2,9,False,False,False
R01,6234,-21.2847,-30.7802,36.82,679.0,BiomeCypreJungle,0,66.0,Dune Sea,2,12,False,False,False
R01,6235,-22.5563,-28.4928,35.74,236.0,BiomeCypreJungle,0,69.0,Dune Sea,2,10,False,False,False
R01,6236,-25.2234,-28.5565,37.38,273.0,BiomeCypreJungle,0,10565.0,Dune Sea,2,10,False,False,False
R01,6239,-26.6127,-31.0171,39.98,301.0,BiomeCypreJungle,0,10959.0,Dune Sea,2,12,False,False,False
R01,7077,-12.6947,-48.3642,49.6,1167.0,AB_OcularForest,0,18.0,Scald Spine,1,32,False,True,False
R01,7079,-13.6873,-50.873,52.18,749.0,BiomeCypreJungle,0,21.0,Scald Spine,2,31,False,False,False
R01,7080,-17.6801,-49.3495,51.63,488.0,BiomeCypreJungle,0,58.0,Dew Belt,3,28,False,False,True
R01,7081,-16.6977,-46.7384,48.97,770.0,BiomeCypreJungle,0,21.0,Scald Spine,1,28,False,True,False
R01,7101,-17.3007,-37.4117,40.68,2001.0,AB_OcularForest,0,32.0,Scald Spine,1,31,False,True,False
R01,7105,-18.6554,-35.2356,39.3,1875.0,Volcano,0,38.0,Dune Sea,2,20,False,False,False
R01,7106,-18.1789,-44.6277,47.46,730.0,BiomeCypreJungle,0,23.0,Scald Spine,1,26,False,True,False
R01,7107,-17.0864,-42.0599,44.79,1177.0,AB_OcularForest,0,10925.0,Scald Spine,2,27,False,False,False
R01,7108,-18.5041,-39.9142,43.34,1307.0,AB_OcularForest,0,27.0,Scald Spine,1,24,False,True,False
R01,7111,-20.7213,-45.0931,48.68,349.0,BiomeCypreJungle,0,11008.0,Hollow Verge,4,24,False,False,True
R01,8816,-25.2641,-35.0424,42.23,239.0,BiomeCypreJungle,0,11201.0,Hollow Verge,2,15,False,False,False
R01,8818,-22.5797,-36.4274,42.02,313.0,BiomeCypreJungle,0,11193.0,Scald Spine,4,17,False,False,True
R01,8834,-21.5229,-49.3853,52.73,1005.0,AB_MiasmicMangrove,0,45.0,Dew Horn,2,27,False,False,False
R01,11090,-18.5699,-27.5373,32.8,1176.0,AB_PyroclasticConflagration,0,55.0,Dune Sea,1,11,False,True,False
R01,11091,-19.8617,-26.8288,32.94,607.0,BiomeCypreJungle,0,70.0,Dune Sea,2,10,False,False,False
R01,11092,-18.6069,-29.082,34.08,1695.0,AB_PyroclasticConflagration,0,36.0,Dune Sea,1,12,False,True,False
R01,11093,-19.9428,-29.9329,35.45,1080.0,BiomeCypreJungle,0,57.0,Dune Sea,1,12,False,True,False
R01,11094,-21.2489,-29.2252,35.57,544.0,BiomeCypreJungle,0,69.0,Dune Sea,2,11,False,False,False
R01,11095,-21.2047,-27.665,34.34,399.0,BiomeCypreJungle,0,66.0,Dune Sea,2,10,False,False,False
R01,11096,-26.5834,-29.3849,38.81,278.0,BiomeCypreJungle,0,10782.0,Dune Sea,2,11,False,False,False
R01,11936,-14.0312,-47.8153,49.35,1080.0,BiomeCypreJungle,0,23.0,Scald Spine,1,31,False,True,False
R01,11937,-13.8672,-49.3457,50.76,829.0,BiomeCypreJungle,0,21.0,Scald Spine,2,31,False,False,False
R01,11938,-16.3486,-49.8536,51.78,523.0,BiomeCypreJungle,0,46.0,Scald Spine,3,29,False,False,True
R01,11939,-15.0175,-50.3613,51.96,616.0,BiomeCypreJungle,0,33.0,Scald Spine,3,30,False,False,True
R01,11940,-16.533,-48.2955,50.37,661.0,BiomeCypreJungle,0,23.0,Scald Spine,2,29,False,False,False
R01,11941,-15.3657,-47.2735,49.14,861.0,BiomeCypreJungle,0,25.0,Scald Spine,1,30,False,True,False
R01,11961,-17.3369,-35.8686,39.33,2021.0,Volcano,0,30.0,Dune Sea,1,22,False,True,False
R01,11965,-17.3535,-34.3343,37.98,2011.0,Volcano,0,31.0,Dune Sea,1,21,False,True,False
R01,11966,-19.5187,-44.0653,47.37,584.0,BiomeCypreJungle,0,10931.0,Scald Spine,2,25,False,False,False
R01,11967,-18.3067,-43.0545,46.07,790.0,BiomeCypreJungle,0,10931.0,Scald Spine,2,26,False,False,False
R01,11968,-18.4151,-41.483,44.7,1000.0,BiomeCypreJungle,0,34.0,Scald Spine,1,26,False,True,False
R01,11969,-19.7513,-40.8898,44.64,791.0,BiomeCypreJungle,0,38.0,Scald Spine,2,23,False,False,False
R01,11970,-20.9904,-41.8821,45.96,515.0,BiomeCypreJungle,0,36.0,Scald Spine,2,22,False,False,False
R01,11971,-20.8662,-43.4869,47.32,490.0,BiomeCypreJungle,0,33.0,Scald Spine,2,24,False,False,False
R01,14328,-19.8099,-25.2691,31.7,423.0,BiomeCypreJungle,0,54.0,Dune Sea,2,10,False,False,False
R01,14329,-21.0844,-24.5455,31.93,196.0,BiomeCypreJungle,0,51.0,Dune Sea,2,9,False,False,False
R01,14330,-22.4334,-25.3645,33.36,114.0,BiomeCypreJungle,0,109.0,Dune Sea,3,8,False,False,True
R01,14331,-23.7098,-24.6092,33.65,29.0,BiomeCypreJungle,0,102.0,Dune Sea,2,7,False,False,False
R01,14332,-22.5021,-26.9251,34.54,158.0,BiomeCypreJungle,0,63.0,Dune Sea,2,9,False,False,False
R01,14333,-23.8605,-27.7413,35.96,101.0,BiomeCypreJungle,0,10648.0,Dune Sea,4,9,False,False,True
R01,14335,-25.0836,-25.386,35.09,1.0,BiomeCypreJungle,0,10595.0,Dune Sea,2,7,False,False,False
R01,14337,-26.2736,-22.9779,34.36,55.0,BiomeCypreJungle,0,10145.0,Dune Sea,2,5,False,False,False
R01,14343,-26.069,-19.7426,32.28,20.0,BiomeCypreJungle,0,9135.0,Dune Sea,2,3,False,False,False
R01,14344,-25.9634,-18.0993,31.29,31.0,ZBiome_Grasslands,0,8502.0,Dune Sea,2,2,False,False,False
R01,14345,-27.2093,-17.1902,31.83,62.0,ZBiome_Grasslands,0,7778.0,Dune Sea,2,1,False,False,False
R01,15179,-16.8465,-45.1772,47.57,852.0,BiomeCypreJungle,0,25.0,Scald Spine,1,28,False,True,False
R01,15206,-15.8572,-41.083,43.52,1170.0,AB_OcularForest,0,10912.0,Scald Spine,2,28,False,False,False
R01,15209,-15.9773,-38.0274,40.77,1131.0,AB_OcularForest,0,82.0,Scald Spine,2,30,False,False,False
R01,16486,-29.8126,-16.969,33.91,24.0,ZBiome_Grasslands,0,5996.0,Dune Sea,2,1,False,False,False
R01,16489,-32.4124,-16.6833,36.03,1.0,ZBiome_Grasslands,0,4037.0,Dune Sea,2,3,False,False,False
R01,16490,-33.8065,-17.336,37.52,1.0,ZBiome_Grasslands,0,3030.0,Dune Sea,2,4,False,False,False
R01,16494,-36.6147,-18.5834,40.46,1.0,ZBiome_Grasslands,0,1028.0,Kiln,1,6,False,True,False
