tile,lat,long,biome,elevation,temperature,rainfall,hilliness,swampiness,pollution
0,58.2787,-90,RUT_Wasteland,16,14.1,0,Flat,0,0
1,58.2787,90,RUT_TheRot,303,12.5,0,Flat,0.3608,0
2,-58.2787,-90,RUT_Desert,582,10.6,0,SmallHills,0,0
3,-58.2787,90,RUT_ForsakenCrags,513,13.7,0,Mountainous,0,0
4,-31.716,180,RUT_Umbra,302,-56.7,0,Flat,0,0
5,31.716,180,RUT_Umbra,1407,-63.7,0,SmallHills,0.3686,0
6,-31.716,0,RUT_ExtremeDesert,13,56.8,0,Flat,0,0
7,31.716,0,RUT_ExtremeDesert,53,55.7,0,SmallHills,0,0
8,0,58.2825,RUT_ExtremeDesert,355,36.7,0,LargeHills,0,0.1907
9,0,121.7175,RUT_NightsideIce,384,-26.1,0,Flat,0,0
10,0,-58.2825,RUT_WeepingStones,518,36.2,0,SmallHills,0.1804,0
11,0,-121.7175,RUT_TheRot,263,-16.8,0,SmallHills,0.5686,0
12,35.2596,-135,RUT_NightsideIce,579,-32.2,0,Flat,0,0
13,69.0771,-180,RUT_TheRot,405,-13.9,0,SmallHills,0.4392,0
14,69.0771,0,RUT_CrackedLands,1,29.6,0,Flat,0,0
15,35.2596,-45,ZBiome_Grasslands,20,41.8,0,Flat,0.0588,0
16,20.9026,-90,RUT_TwilightSea,-350,14,0,Flat,0,0.8911
17,35.2596,135,RUT_TheRot,1268,-36.8,0,LargeHills,0.3098,0
18,0,-159.0948,RUT_Umbra,881,-66.6,0,LargeHills,0,0
19,-20.9026,-90,RUT_TheRot,742,10.4,0,Flat,0.4392,0
20,0,-20.9052,RUT_CrackedLands,1080,55.4,54,Mountainous,0,0
21,35.2596,45,RUT_ExtremeDesert,524,38.8,0,LargeHills,0,0
22,-35.2596,135,RUT_BlueDesert,584,-31.9,0,Mountainous,0,0
23,-69.0771,180,RUT_Wasteland,863,-14.8,0,SmallHills,0,0
24,-69.0771,0,RUT_Desert,23,31.3,0,Flat,0,0
25,-35.2596,45,RUT_ExtremeDesert,399,40,10,LargeHills,0,0
