mod,defType,defName,label,classification,file
Armoury,AdaptiveStorage.GraphicsDef,guy762_ASFGraphics_SecretFloorPanel_DoomgiverTile,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_AdditionalMods/kotorcore/AdaptiveStorageFramework/Absorbed_Kotorcore_AdaptiveStorageFramework_HiddenSmugglingCompartmentPanels.xml
Armoury,AdaptiveStorage.GraphicsDef,guy762_ASFGraphics_SecretFloorPanel_DreadnaughtCabinTile_black,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_AdditionalMods/kotorcore/AdaptiveStorageFramework/Absorbed_Kotorcore_AdaptiveStorageFramework_HiddenSmugglingCompartmentPanels.xml
Armoury,AdaptiveStorage.GraphicsDef,guy762_ASFGraphics_SecretFloorPanel_DreadnaughtCabinTile_blue,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_AdditionalMods/kotorcore/AdaptiveStorageFramework/Absorbed_Kotorcore_AdaptiveStorageFramework_HiddenSmugglingCompartmentPanels.xml
Armoury,AdaptiveStorage.GraphicsDef,guy762_ASFGraphics_SecretFloorPanel_darkwhiteoutlines,,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_AdditionalMods/kotorcore/AdaptiveStorageFramework/Absorbed_Kotorcore_AdaptiveStorageFramework_HiddenSmugglingCompartmentPanels.xml
Armoury,ChemicalDef,guy762_chemical_battlestim,battle stimulant,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_Consumables/Absorbed_KotorCore_ThingDefs_Stimulants_Battle.xml
Armoury,ChemicalDef,guy762_chemical_constim,adrenal stamina,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_Consumables/Absorbed_KotorCore_ThingDefs_Stimulants_Con.xml
Armoury,ChemicalDef,guy762_chemical_dexstim,adrenal alacrity,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_Consumables/Absorbed_KotorCore_ThingDefs_Stimulants_Dex.xml
Armoury,ChemicalDef,guy762_chemical_rhydo,Rhydonium,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_Resources/Absorbed_KotorCore_KotORResource_Rhydonium.xml
Armoury,ChemicalDef,guy762_chemical_spice,spice,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_Resources/Absorbed_KotorCore_KotORResource_Spice.xml
Armoury,ChemicalDef,guy762_chemical_strstim,adrenal strength,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/ThingDefs_Consumables/Absorbed_KotorCore_ThingDefs_Stimulants_Str.xml
Armoury,ColorDef,guy762_StructureColor_212thOrange,212th Orange,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_501stBlue,501st Blue,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_BespinBeige,Bespin Beige,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_CinnagarIron,Cinnagar Iron,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_CorranViridian,Corran's Viridian,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_CzerkaYellow,Czerka Yellow,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_DeathWatchBlue,Death Watch Blue,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_EchaniGold,Echani Gold,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_FieldMarshalGold,Field Marshal Gold,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_GalacticMarineBurgundy,Galactic Marine Burgundy,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_HK47Rust,HK-47's Rust,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_HK50Durasteel,HK-50's Durasteel,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
Armoury,ColorDef,guy762_StructureColor_ImpArmySlate,Imperial Army Slate,STRUCTURAL (no description in vanilla either),Armoury/Defs/Absorbed_KotorCore/Absorbed_KotorCore_ColorDefs_structure.xml
