# FAUNA_TOLERANCE_NORMALIZATION_1 offline census - Law 5 (domain envelope [p05,p95] +/-15C).
# Sources (sha256/16): decisions=e45830e93d80fe77 move_mapping=6ed495e291cbfab4 tiles=756d9ffc8a22c3d2 animals_csv=ccbe56df39c9a157 modsconfig=b2b45866508f3a7f
# comfyTemp from mod XML via animal_inventory.py (base XML, pre-patch, inheritance-resolved); DEFAULTED = StatDef defaults 0/40 used.
defName,mod,biomes,envLo,envHi,needLo,needHi,comfyMin,comfyMax,defaulted,coldGap,heatGap,status
AA_Wildpawn,Alpha Animals,the_greentide+the_rot,-38.1,59.9,-53.1,74.9,-15.0,40.0,DEFAULTED,38.1,34.9,VIOLATION
Vapaad,Star Wars Animal Collection (Continued),the_blue_desert,-56.6,-26.7,-71.6,-11.7,0.0,350.0,,71.6,0,VIOLATION
AA_Swarmling,Alpha Animals,the_contagion+the_rot,-38.1,51.5,-53.1,66.5,-10.0,40.0,DEFAULTED,43.1,26.5,VIOLATION
AA_Thunderbeast,Alpha Animals,the_blue_desert,-56.6,-26.7,-71.6,-11.7,-10.0,45.0,,61.6,0,VIOLATION
AA_Wildpod,Alpha Animals,arid_shrubland+the_rot,-38.1,45.9,-53.1,60.9,-15.0,40.0,DEFAULTED,38.1,20.9,VIOLATION
AA_ShockGoat,Alpha Animals,nightside_ice,-47.4,-20.6,-62.4,-5.6,-5.0,40.0,DEFAULTED,57.4,0,VIOLATION
BMT_FungalMantis,Biomes! Caverns,the_rot,-38.1,16.4,-53.1,31.4,0.0,60.0,,53.1,0,VIOLATION
BMT_FungalWeevil,Biomes! Caverns,the_rot,-38.1,16.4,-53.1,31.4,0.0,60.0,,53.1,0,VIOLATION
ShiroTrap,Star Wars Animal Collection (Continued),the_rot,-38.1,16.4,-53.1,31.4,0.0,60.0,,53.1,0,VIOLATION
Snoruuk,Star Wars Animal Collection (Continued),the_rot,-38.1,16.4,-53.1,31.4,-5.0,30.0,,48.1,1.4,VIOLATION
BMT_Stoneback,Biomes! Caverns,arid_shrubland+desert+the_scarlands+wasteland,-13.1,65.9,-28.1,80.9,0.0,60.0,,28.1,20.9,VIOLATION
AA_DecayDrake,Alpha Animals,poison_forest+the_miasma,-7.1,58.2,-22.1,73.2,-10.0,40.0,DEFAULTED,12.1,33.2,VIOLATION
BMT_BovineBeetle,Biomes! Caverns,the_rot,-38.1,16.4,-53.1,31.4,-10.0,40.0,DEFAULTED,43.1,0,VIOLATION
BMT_SmogMoth,Biomes! Polluted Lands,the_rot,-38.1,16.4,-53.1,31.4,-10.0,57.0,,43.1,0,VIOLATION
BMT_MossBeetle,Biomes! Caverns,arid_shrubland,-7.1,45.9,-22.1,60.9,0.0,40.0,DEFAULTED,22.1,20.9,VIOLATION
JOE_Cephalope,RimUtinni Patches (Jawa campaign),deep_desert+desert+dune_sea,9.5,61.6,-5.5,76.6,0.0,40.0,DEFAULTED,5.5,36.6,VIOLATION
AA_Terramorph,Alpha Animals,the_scarlands+wasteland,-13.1,65.9,-28.1,80.9,-40.0,40.0,DEFAULTED,0,40.9,VIOLATION
BMT_CrystalFairyMole,Biomes! Caverns,the_scarlands,58.1,65.9,43.1,80.9,-50.0,40.0,,0,40.9,VIOLATION
Iriaz,Star Wars Animal Collection (Continued),arid_shrubland+desert+the_pyrelands,-7.1,63.8,-22.1,78.8,-10.0,50.0,,12.1,28.8,VIOLATION
AA_Aerofleet,Alpha Animals,terminator_sea+the_forge+the_grey_deep+the_twilight_deep,-9.5,55.8,-24.5,70.8,-25.0,30.0,,0,40.8,VIOLATION
AA_ColossalAerofleet,Alpha Animals,terminator_sea+the_forge+the_grey_deep+the_twilight_deep,-9.5,55.8,-24.5,70.8,-25.0,30.0,,0,40.8,VIOLATION
AA_TetraSlug,Alpha Animals,the_rust_cathedral,58.7,65.2,43.7,80.2,-10.0,40.0,DEFAULTED,0,40.2,VIOLATION
Gizka,Star Wars Animal Collection (Continued),arid_shrubland+deep_desert+desert+dune_sea+the_greentide,-7.1,61.6,-22.1,76.6,0.0,60.0,,22.1,16.6,VIOLATION
AA_Helixien,Alpha Animals,poison_forest+the_contagion,-7.1,51.5,-22.1,66.5,-10.0,40.0,DEFAULTED,12.1,26.5,VIOLATION
AA_Agaripawn,Alpha Animals,the_rot,-38.1,16.4,-53.1,31.4,-15.0,40.0,DEFAULTED,38.1,0,VIOLATION
AA_Agaripod,Alpha Animals,the_rot,-38.1,16.4,-53.1,31.4,-15.0,40.0,DEFAULTED,38.1,0,VIOLATION
