# Mod list active when CANONICAL_ASHKARR_START_2026-09-12.rws was saved (617 mods)
# packageId | name
zetrith.prepatcher	Prepatcher
brrainz.harmony	Harmony
mandrake.rm.loadtracer	Load Tracer (local)
aleksey.betterstacktraces	Better Stacktraces
ludeon.rimworld	Core
ludeon.rimworld.royalty	Royalty
ludeon.rimworld.ideology	Ideology
ludeon.rimworld.biotech	Biotech
ludeon.rimworld.anomaly	Anomaly
ludeon.rimworld.odyssey	Odyssey
krkr.rule56	[1.6] CAI 5000 - Advanced AI + Fog Of War (continued)
mlie.nwnrealfogofwar	(NWN) Real Fog of War (Continued)
owlchemist.cherrypicker	Cherry Picker
aoba.framework	Fortified Features Framework
vanillaexpanded.backgrounds	Vanilla Backgrounds Expanded
thesepeople.ritualattachableoutcomes	Custom Ritual Framework
adaptive.storage.framework	Adaptive Storage Framework
redmattis.betterprerequisites	Big and Small - Framework
smashphil.vehicleframework	Vehicle Framework
imranfish.xmlextensions	XML Extensions
unlimitedhugs.hugslib	HugsLib
oskarpotocki.vanillafactionsexpanded.core	Vanilla Expanded Framework
ebsg.framework	EBSG Framework
04.23.2020	[1.1]TO[1.6]MultipleTraders
ap.huntingmeme	[AP] Hunting Meme
dizzy.candlesandmeditation	[Dizzy] Candles and Hidden Meditation
hmc.wall.furniture	[HMC]Wall Furniture
jm.disstynan	[JM]Disable Pseudo Translate 禁用泰南语
zal.calltradeships	[KV] Call Trade Ships (Continued)
lc.tammybee.selectablesculpturegraphic	[LC] Selectable Sculpture Graphic
mingtuwuxiang.spacebasedecorative	[MUS]太空基地家具Space Base Furniture
nals.facialanimation	[NL] Facial Animation - WIP
mlie.rfrumorhasit	[RF] Rumor Has It.... (Continued)
rh2.cpers.arrest.here	[RH2] CPERS: Arrest Here!
cp.uncle.boris.used.furniture	[RH2] Uncle Boris' - Used Furniture
sbz.neatstoragefridge	[sbz] Fridge
sbz.gravshipstorage	[sbz] Gravship Storage
sr.modrimworld.factionalwarcontinued	[SR]Factional War (fork)
mlie.syrmoreslaves	[SYR] More Slaves (Continued)
zav.glowstoneforked	[ZAV] Glowstone
armoredampharos.fancyrats	AA FancyRats
adaptive.ideology.storage	Adaptive Ideology Storage
adaptive.primitivestorage	Adaptive Primitive Storage
adaptive.simplestorage	Adaptive Simple Storage
mlie.advancedbiomes	Advanced Biomes (Continued)
ali.growodysseyplants	Ali's Grow All Odyssey Plants
7f.alienworlds	Alien Worlds Framework
andrewraphaellukasik.allowdeadanimals	Allow Dead Animals
unlimitedhugs.allowtool	Allow Tool
duz.almosttherefork	Almost There! Fork
sarg.alphabiomes	Alpha Biomes
sarg.alphamechs	Alpha Mechs
sarg.alphamemes	Alpha Memes
swablu.ambience	Ambient Rim
vita.campdangers	Ancient Dangers on Campsites and Encounter maps
xmb.ancientminingindustry.mo	Ancient mining industry
aqued.dredgeaberrations	Aqued Dredge Aberrations
asp.halituisamaricanous	Astronomy Style Pack
kshtantrumsounds.mod	AuthenticTantrumNoises
automatic.autolinks	Auto links
fuu.autostriponhaul	Auto Strip on Haul
mlie.beastsoftherim	Beasts of the Rim (Continued)
elsov.beliar	Beliar Xenotype
io.github.relvl.rimworld.bestapparel	BestApparel
ionfrigate12345.coolandgoodambush	Better Ambushes Continued
mlie.betterbeggars	Better Beggars (Continued)
nephlite.advexplosions	Better Explosions
arkymn.bettergrowthmoments	Better Growth Moments
zal.betterinfestations	Better Infestations (Continued)
madeline.modmismatchformatter	Better ModMismatch Window
mlie.betterprojectileorigin	Better Projectile Origin
jm.bettertraders	Better Traders
chaoticenrico.bettertrees	Better Trees
falconne.bwm	Better Workbench Management
redmattis.biggergravship	Bigger Gravships (and other Odyssey spaceship related settings)
kopp.biomecompatibilityproject	Biome Compatibility Project
biomesteam.biomesfossils	Biomes! Fossils
biomesteam.coreframework	Biomes! Framework
zal.biomeskit	BiomesKit (Continued)
bs.mbifvte	Bradson's Main Button Icons (Forked + Expanded)
gulmadred.breedingritual	Breeding Ritual
memegoddess.buildfrominventory	Build From Inventory - Continued
8z.callforintel	Call For Intel
brrainz.cameraplus	Camera+
iforgotmysocks.caravanadventures	Caravan Adventures
kapitanoczywisty.changemapedge	Change map edge limit
void.charactereditor	Character Editor
heatherathebyne.childrenlearnoncaravan	Children Learn on Caravan
kearril.choosewheretoland	Choose Where To Land
kikohi.coloreddeepresources	Colored deep resources
petetimessix.compacthediffs	Compact Hediffs
com.makeitso.configurabletechprints	Configurable Techprints
cozyfire.velcroboy333	Cozy Fires
heatherathebyne.craftingspotslavegear	Crafting Spot Slave Gear
thumb.bettercremation	Cremation smelts apparels
greg.customgastypes	Custom Gas Types
