defName,label,modName,packageId,workerClass,categories,gate
AB_AgariluxPrime_Mutator,agarilux prime sprout,Alpha Biomes,sarg.alphabiomes,AlphaBiomes.TileMutatorWorker_AgariluxPrime,,
AB_AmbientRadiation,ambient radiation,Alpha Biomes,sarg.alphabiomes,,,
AB_AncientBloodRainVent,blood rain vent,Alpha Biomes,sarg.alphabiomes,AlphaBiomes.TileMutatorWorker_AncientBloodRainVent,AncientVent,
AB_AncientDeathPallVent,death pall vent,Alpha Biomes,sarg.alphabiomes,AlphaBiomes.TileMutatorWorker_AncientDeathPallVent,AncientVent,
AB_AncientFreezingVent,ancient freezing vent,Alpha Biomes,sarg.alphabiomes,AlphaBiomes.TileMutatorWorker_AncientFreezingVent,AncientVent,
AB_AncientGreyPallVent,gray pall vent,Alpha Biomes,sarg.alphabiomes,AlphaBiomes.TileMutatorWorker_AncientGreyPallVent,AncientVent,
AB_BlizzariskNest,blizzarisk nest,Alpha Biomes,sarg.alphabiomes,VEF.Maps.TileMutatorWorker_ExtraAnimal,,
AB_ButterflySwarms,butterfly swarms,Alpha Biomes,sarg.alphabiomes,VEF.Maps.TileMutatorWorker_ExtraAnimal,,
AB_DerelictArchonexus,derelict archonexus,Alpha Biomes,sarg.alphabiomes,VEF.Maps.TileMutatorWorker_GenericPrefabSpawner,,
AB_DerelictBioLab,derelict biolab,Alpha Biomes,sarg.alphabiomes,VEF.Maps.TileMutatorWorker_GenericKCSGSpawner,,maxHilliness=Flat
AB_DerelictClusters,derelict clusters,Alpha Biomes,sarg.alphabiomes,VEF.Maps.TileMutatorWorker_GenericKCSGSpawner,,
AB_DerelictKemeticTemple,derelict kemetic temple,Alpha Biomes,sarg.alphabiomes,VEF.Maps.TileMutatorWorker_GenericKCSGSpawner,,
AB_DerelictResort,derelict resort,Alpha Biomes,sarg.alphabiomes,VEF.Maps.TileMutatorWorker_GenericKCSGSpawner,,coastSides=1..6
AB_DessertTrees,dessert trees,Alpha Biomes,sarg.alphabiomes,RimWorld.TileMutatorWorker_WildPlants,WildPlants,
AB_DigestiveSurface,digestive surface,Alpha Biomes,sarg.alphabiomes,,,
AB_DiminutiveRegion,diminutive region,Alpha Biomes,sarg.alphabiomes,,VEE_MapSize,
AB_DunealiskNest,dunealisk nest,Alpha Biomes,sarg.alphabiomes,VEF.Maps.TileMutatorWorker_ExtraAnimal,,
