tier,folder,is_mod,packageId,modname,deps,def_count,top_def_types,tex_count,has_csharp,domain,notes
RimMandrake,Aftermath,yes,mandrake.rm.aftermath,RimMandrake: Aftermath,mandrake.rm.ninefold;mandrake.rut.aftermath,0,,0,yes,mechanic,battle recorder + aftermath-hostilities engine (M0)
RimMandrake,DesertVehicleReskin,yes,mandrake.rm.desertvehiclereskin,Desert Vehicle Reskin — Alpha Vehicles Neolithic,,1,,30,yes,fix,desert-tint reskin for Alpha Vehicles Neolithic carts
RimMandrake,FluidCanals,yes,mandrake.rm.fluidcanals,RimMandrake Fluid Canals,,7,ThingDef:2;DesignationDef:1;FluidDef:1,0,yes,mechanic,"species/biome-agnostic canal engine, water/oil/tar flow"
RimMandrake,Graffiti,yes,mandrake.rm.graffiti,RimMandrake: Graffiti Framework,mandrake.rm;mandrake.rm.ninefold;mandrake.rm.sacredgraffiti;mandrake.rut.marks,6,ThingDef:2;JobDef:1;JoyGiverDef:1,6,yes,mechanic,"graffiti vandalism engine, supersedes Mlie GraffitiMod"
RimMandrake,GravshipAstronautFix,yes,mandrake.rm.gravshipastronautfix,Missing North Facings — Vanilla Gravship Expanded,,0,,3,no,fix,north-facing textures for VGE Astronaut mechanoid (Vanilla Gravship Expanded)
RimMandrake,Inhabited,yes,mandrake.rm.inhabited,Inhabited (local),mandrake.rm.injections,306,CharacterDef:294;InhabitedPlaceDef:4;GenStepDef:3,0,yes,mechanic,gives world settlements a persistent living pawn cast
RimMandrake,LoadTracer,yes,mandrake.rm.loadtracer,Load Tracer (local),,0,,0,yes,tooling,diagnostic instrument for intermittent cold-load stall
RimMandrake,MandrakePatches,yes,mandrake.rm.patches,RimMandrake Patches,mandrake.jawa.patches,0,,0,no,patches_catchall,"game-generic compat patches, RimMandrake tier"
RimMandrake,Ninefold,yes,mandrake.rm.ninefold,RimMandrake Ninefold (M0 — safe core),,0,,0,yes,mechanic,"divine-satiation mood engine, safe M0 core"
RimMandrake,Oracle,yes,mandrake.rm.oracle,RimMandrake: Oracle,,0,,0,yes,mechanic,in-game LLM wiring / narrator engine plumbing
RimMandrake,PhytokinBarkHeadFix,yes,mandrake.rm.phytokinbarkheadfix,Bark Head East Fix — Vanilla Races Expanded: Phytokin,,0,,1,no,fix,"east-facing head texture fix, Vanilla Races Expanded Phytokin"
RimMandrake,Pits,yes,mandrake.rm.pits,RimMandrake Pits,,24,ThingDef:21;openPitDef:10;HediffDef:3,0,yes,mechanic,species-agnostic covered pit-trap framework
RimMandrake,PlanetPresetPrime,yes,mandrake.rm.planetpresetprime,Planet Preset Prime (local),,0,,0,yes,tooling,dev ergonomics: fast test-world creation presets
RimMandrake,Property,yes,mandrake.rm.property,RimMandrake: Property,,0,,0,yes,mechanic,ownership/theft/perception fabric engine
RimMandrake,RaidRedesigner,yes,mandrake.rm.raidredesigner,RimMandrake: Raid Redesigner — Old Friends,mandrake.rm.property,0,,0,yes,mechanic,persistent NPC roster for raid redesign (Old Friends)
RimMandrake,ResearchKitEastFix,yes,mandrake.rm.researchkiteastfix,Research Kit East Fix — Research Reinvented (Retextured),,0,,4,no,fix,"east-facing worn-art fix, Research Reinvented kits"
