file,name,width,height,cells,game_version,version_major,size_bucket,distinct_hash_count,region_count,region_size_mean,region_size_p50,region_size_p90,region_size_max_frac,perim_area_mean_overall,top5_sizes,top5_perimeters,top5_perim_area_ratios,openness_topk_k,openness_frac,openness_window_mean,openness_window_std,adjacency_distinct_pairs,adjacency_entropy_bits,chokepoint_erosion_radius,chokepoint_width_est,chokepoint_split_count
research/RimMandrake/reference/controls/control_tile129_275x275.txt,controls,275,275,75625,control,control,275,11,382,197.971,3.5,140.6,0.2188,2.43821,16547;10541;6301;6173;4143,3066;1618;1210;1112;608,0.18529;0.15350;0.19203;0.18014;0.14675,3,0.88915,0.88915,0.20305,31,2.5861,17,33,2
research/RimMandrake/reference/controls/control_tile131_275x275.txt,controls,275,275,75625,control,control,275,18,769,98.342,3.0,77.6,0.33991,2.63373,25706;5638;3573;2470;2454,5614;1118;714;440;598,0.21839;0.19830;0.19983;0.17814;0.24368,3,0.83759,0.83759,0.19241,53,3.35379,2,3,2
research/RimMandrake/reference/controls/control_tile149_300x300.txt,controls,300,300,90000,control,control,300,19,1114,80.79,2.0,59.7,0.26261,2.79883,23635;6702;4422;3874;3412,5148;1364;920;1000;722,0.21781;0.20352;0.20805;0.25813;0.21161,3,0.80179,0.80179,0.23171,64,3.57814,11,21,2
research/RimMandrake/reference/controls/control_tile19255_250x250.txt,controls,250,250,62500,control,control,250,19,452,138.274,2.0,100.0,0.70494,2.6531,44059;1659;1629;888;598,6288;414;346;230;138,0.14272;0.24955;0.21240;0.25901;0.23077,3,0.87253,0.87253,0.12582,42,3.72398,8,15,2
research/RimMandrake/reference/controls/control_tile194_300x300.txt,controls,300,300,90000,control,control,300,21,509,176.817,3.0,162.2,0.14634,2.61012,13171;8475;7018;6905;5529,2282;1176;1774;1554;484,0.17326;0.13876;0.25278;0.22505;0.08754,3,0.72443,0.72443,0.33532,55,3.41571,9,17,2
research/RimMandrake/reference/controls/control_tile195_300x300.txt,controls,300,300,90000,control,control,300,20,718,125.348,2.0,120.3,0.18162,2.68619,16346;10167;7701;6887;3507,3520;2230;1722;1498;514,0.21534;0.21934;0.22361;0.21751;0.14656,3,0.86497,0.86497,0.19002,57,3.34729,12,23,2
research/RimMandrake/reference/controls/control_tile31_250x250.txt,controls,250,250,62500,control,control,250,21,449,139.198,4.0,134.0,0.59728,2.43019,37330;2689;2083;1041;1033,6212;674;486;220;334,0.16641;0.25065;0.23332;0.21134;0.32333,3,0.82139,0.82139,0.19286,57,3.48513,11,21,2
research/RimMandrake/reference/controls/control_tile44_250x250.txt,controls,250,250,62500,control,control,250,17,254,246.063,17.0,227.3,0.64688,1.88802,40430;2898;1450;1075;935,6322;646;356;226;272,0.15637;0.22291;0.24552;0.21023;0.29091,3,0.82115,0.82115,0.21489,40,3.28066,8,15,2
research/RimMandrake/reference/controls/control_tile4851_300x300.txt,controls,300,300,90000,control,control,300,21,650,138.462,3.0,101.0,0.70822,2.55467,63740;1789;862;809;756,9514;248;260;256;400,0.14926;0.13862;0.30162;0.31644;0.52910,3,0.84883,0.84883,0.17438,55,3.75818,9,17,2
research/RimMandrake/reference/controls/control_tile50_250x250.txt,controls,250,250,62500,control,control,250,16,500,125.0,3.0,120.1,0.62824,2.51896,39265;1370;958;816;644,6854;298;236;276;154,0.17456;0.21752;0.24635;0.33824;0.23913,3,0.80922,0.80922,0.18618,44,3.45964,8,15,2
research/RimMandrake/reference/controls/control_tile51_275x275.txt,controls,275,275,75625,control,control,275,24,764,98.986,2.0,100.7,0.10798,2.64877,8166;5219;4416;4033;3826,1614;1186;1308;940;672,0.19765;0.22725;0.29620;0.23308;0.17564,3,0.7632,0.7632,0.26184,86,3.81182,1,1,3
research/RimMandrake/reference/controls/control_tile88_275x275.txt,controls,275,275,75625,control,control,275,13,525,144.048,4.0,119.6,0.21645,2.43349,16369;11124;5784;5236;3915,3762;1648;1126;1178;730,0.22982;0.14815;0.19467;0.22498;0.18646,3,0.85004,0.85004,0.17137,35,2.87646,8,15,2
