# rimplace flat plan v2
# template  beast_lair (sha 5c88182bab37cdae)
# min_rect  24x24   baked at 24x24
FOOTPRINT	0	0	24	24
CLEAR	-1	-1	26	26	soft
CLEAR	0	0	24	24	all
CLEAR	12	12	1	1	all
CLEAR	12	13	1	1	all
CLEAR	11	12	1	1	all
CLEAR	10	12	1	1	all
CLEAR	10	11	1	1	all
CLEAR	9	11	1	1	all
CLEAR	9	10	1	1	all
CLEAR	10	10	1	1	all
CLEAR	11	10	1	1	all
CLEAR	11	9	1	1	all
CLEAR	12	9	1	1	all
CLEAR	12	10	1	1	all
CLEAR	13	9	1	1	all
CLEAR	13	8	1	1	all
CLEAR	13	10	1	1	all
CLEAR	11	8	1	1	all
CLEAR	12	8	1	1	all
CLEAR	10	8	1	1	all
CLEAR	10	7	1	1	all
CLEAR	10	9	1	1	all
CLEAR	8	11	1	1	all
CLEAR	8	10	1	1	all
CLEAR	9	9	1	1	all
CLEAR	12	11	1	1	all
CLEAR	11	11	1	1	all
CLEAR	14	8	1	1	all
CLEAR	14	9	1	1	all
CLEAR	14	10	1	1	all
CLEAR	15	10	1	1	all
CLEAR	15	11	1	1	all
CLEAR	15	12	1	1	all
CLEAR	14	12	1	1	all
CLEAR	14	11	1	1	all
CLEAR	16	11	1	1	all
CLEAR	15	9	1	1	all
CLEAR	16	9	1	1	all
CLEAR	16	8	1	1	all
CLEAR	15	8	1	1	all
CLEAR	16	10	1	1	all
CLEAR	17	10	1	1	all
CLEAR	17	11	1	1	all
CLEAR	17	12	1	1	all
CLEAR	17	13	1	1	all
CLEAR	17	14	1	1	all
CLEAR	18	14	1	1	all
CLEAR	18	15	1	1	all
CLEAR	17	15	1	1	all
CLEAR	17	16	1	1	all
CLEAR	17	17	1	1	all
CLEAR	17	18	1	1	all
CLEAR	18	18	1	1	all
CLEAR	19	18	1	1	all
CLEAR	19	19	1	1	all
CLEAR	18	19	1	1	all
CLEAR	19	20	1	1	all
CLEAR	19	21	1	1	all
CLEAR	18	21	1	1	all
CLEAR	18	22	1	1	all
CLEAR	19	22	1	1	all
CLEAR	19	23	1	1	all
CLEAR	18	23	1	1	all
CLEAR	17	23	1	1	all
CLEAR	17	21	1	1	all
CLEAR	20	22	1	1	all
CLEAR	21	22	1	1	all
CLEAR	21	21	1	1	all
CLEAR	21	20	1	1	all
CLEAR	20	21	1	1	all
CLEAR	18	20	1	1	all
CLEAR	20	20	1	1	all
CLEAR	19	17	1	1	all
CLEAR	20	17	1	1	all
CLEAR	20	16	1	1	all
CLEAR	19	16	1	1	all
CLEAR	18	16	1	1	all
CLEAR	18	17	1	1	all
CLEAR	21	17	1	1	all
CLEAR	22	17	1	1	all
CLEAR	17	19	1	1	all
CLEAR	17	20	1	1	all
CLEAR	16	19	1	1	all
CLEAR	16	20	1	1	all
CLEAR	16	21	1	1	all
CLEAR	15	21	1	1	all
CLEAR	15	20	1	1	all
CLEAR	15	19	1	1	all
CLEAR	14	19	1	1	all
CLEAR	14	20	1	1	all
CLEAR	13	20	1	1	all
CLEAR	14	21	1	1	all
CLEAR	15	22	1	1	all
CLEAR	14	22	1	1	all
CLEAR	13	22	1	1	all
CLEAR	13	21	1	1	all
CLEAR	14	23	1	1	all
CLEAR	15	23	1	1	all
CLEAR	16	23	1	1	all
CLEAR	16	22	1	1	all
CLEAR	17	22	1	1	all
CLEAR	19	15	1	1	all
CLEAR	19	14	1	1	all
CLEAR	20	15	1	1	all
CLEAR	19	13	1	1	all
CLEAR	18	13	1	1	all
CLEAR	16	15	1	1	all
CLEAR	16	14	1	1	all
CLEAR	16	13	1	1	all
CLEAR	15	14	1	1	all
CLEAR	15	15	1	1	all
CLEAR	14	15	1	1	all
CLEAR	13	15	1	1	all
CLEAR	13	16	1	1	all
CLEAR	13	14	1	1	all
CLEAR	14	14	1	1	all
CLEAR	14	16	1	1	all
CLEAR	14	17	1	1	all
CLEAR	15	17	1	1	all
CLEAR	16	17	1	1	all
CLEAR	16	18	1	1	all
CLEAR	15	18	1	1	all
CLEAR	13	19	1	1	all
CLEAR	12	19	1	1	all
CLEAR	12	20	1	1	all
CLEAR	13	18	1	1	all
CLEAR	14	18	1	1	all
CLEAR	12	21	1	1	all
CLEAR	12	22	1	1	all
CLEAR	11	21	1	1	all
CLEAR	10	21	1	1	all
CLEAR	12	18	1	1	all
CLEAR	13	23	1	1	all
CLEAR	12	23	1	1	all
CLEAR	11	22	1	1	all
CLEAR	10	22	1	1	all
CLEAR	11	23	1	1	all
CLEAR	11	20	1	1	all
CLEAR	11	19	1	1	all
CLEAR	10	19	1	1	all
CLEAR	9	19	1	1	all
CLEAR	8	19	1	1	all
CLEAR	8	20	1	1	all
CLEAR	9	20	1	1	all
CLEAR	10	20	1	1	all
CLEAR	11	18	1	1	all
CLEAR	9	21	1	1	all
