kind,a,b,def
road,24,7426,DirtPath
road,24,7427,DirtPath
road,24,7429,DirtPath
road,36,7497,DirtRoad
road,36,7500,DirtRoad
road,43,7539,DirtRoad
road,43,7540,DirtRoad
road,57,7623,AncientAsphaltHighway
road,57,7624,AncientAsphaltHighway
road,73,7719,DirtPath
road,73,7722,DirtPath
road,117,7984,AncientAsphaltHighway
road,133,8080,DirtRoad
road,133,8082,DirtRoad
road,134,8085,StoneRoad
road,134,8086,StoneRoad
road,135,8093,DirtRoad
road,135,8094,DirtRoad
road,160,8241,DirtRoad
road,160,8244,DirtRoad
road,161,8247,AncientAsphaltHighway
road,161,8250,AncientAsphaltHighway
road,165,8271,DirtPath
road,165,8272,DirtPath
road,169,8297,DirtPath
road,169,8298,DirtPath
road,171,8306,DirtRoad
road,171,8307,DirtRoad
road,195,8453,DirtRoad
road,196,8457,StoneRoad
road,196,8458,StoneRoad
road,197,8462,DirtRoad
road,197,8464,DirtRoad
road,203,8499,DirtRoad
road,203,8503,DirtRoad
road,210,8543,DirtRoad
road,210,8544,DirtRoad
road,218,8590,DirtRoad
road,218,8593,DirtRoad
road,263,8861,DirtPath
road,263,8863,DirtPath
road,269,8895,DirtRoad
road,269,8899,DirtRoad
road,285,8991,DirtRoad
road,285,8995,DirtRoad
road,315,9171,DirtRoad
road,315,9175,DirtRoad
road,324,9226,StoneRoad
road,324,9229,StoneRoad
road,325,9231,StoneRoad
road,325,9235,StoneRoad
road,350,9381,DirtRoad
road,350,9383,DirtRoad
road,377,9542,StoneRoad
road,377,9547,StoneRoad
road,399,9675,AncientAsphaltHighway
road,399,9678,AncientAsphaltHighway
road,407,9724,DirtRoad
road,407,9727,DirtRoad
road,410,9742,DirtPath
road,410,9744,DirtPath
road,435,9891,DirtPath
road,435,9895,DirtPath
road,485,10192,DirtRoad
road,485,10195,DirtRoad
road,497,10265,AncientAsphaltHighway
road,497,10267,AncientAsphaltHighway
road,513,10361,StoneRoad
road,513,10363,StoneRoad
road,565,10672,DirtPath
road,565,10673,DirtPath
road,565,10674,DirtPath
road,582,10774,AncientAsphaltHighway
road,582,10777,AncientAsphaltHighway
road,607,10924,AncientAsphaltHighway
road,607,10927,AncientAsphaltHighway
road,627,11044,AncientAsphaltHighway
road,627,11047,AncientAsphaltHighway
road,655,11214,DirtPath
road,656,11216,AncientAsphaltHighway
road,656,11218,AncientAsphaltHighway
road,675,11331,DirtRoad
road,675,11334,DirtRoad
road,675,11335,DirtRoad
road,702,11494,DirtRoad
road,702,11497,DirtRoad
road,752,11793,DirtRoad
road,752,11797,DirtRoad
road,755,11812,StoneRoad
road,755,11815,StoneRoad
road,759,11834,StoneRoad
road,759,11837,StoneRoad
road,766,11877,DirtRoad
road,766,11878,DirtRoad
road,780,11960,StoneRoad
road,780,11965,DirtRoad
road,805,12111,StoneRoad
road,805,12113,StoneRoad
road,815,12174,DirtRoad
road,826,12238,DirtRoad
road,826,12241,DirtRoad
road,852,12393,DirtRoad
road,852,12396,DirtRoad
road,866,12476,StoneRoad
road,866,12481,StoneRoad
road,887,12604,DirtPath
road,887,12607,DirtPath
road,929,12857,DirtPath
road,929,12859,DirtPath
road,931,12866,DirtPath
road,931,12868,DirtPath
road,938,12909,AncientAsphaltHighway
road,938,12911,AncientAsphaltHighway
road,941,12927,AncientAsphaltHighway
road,941,12929,AncientAsphaltHighway
road,978,13149,DirtRoad
road,978,13150,DirtRoad
road,978,13153,DirtPath
road,979,13155,DirtRoad
road,979,13158,DirtRoad
road,984,13184,AncientAsphaltHighway
road,984,13189,AncientAsphaltHighway
road,987,13204,DirtRoad
road,987,13207,DirtRoad
road,1011,13348,DirtPath
road,1011,13350,DirtPath
road,1024,13425,DirtRoad
road,1024,13427,DirtPath
road,1024,13429,DirtRoad
road,1064,13667,DirtPath
road,1064,13669,DirtPath
road,1073,13720,AncientAsphaltHighway
road,1073,13723,AncientAsphaltHighway
road,1111,13947,DirtPath
road,1111,13949,DirtPath
road,1142,14135,AncientAsphaltHighway
road,1142,14137,AncientAsphaltHighway
road,1145,14151,AncientAsphaltHighway
road,1145,14153,AncientAsphaltHighway
road,1146,14158,AncientAsphaltHighway
road,1146,14160,AncientAsphaltHighway
road,1168,14289,AncientAsphaltHighway
road,1168,14291,AncientAsphaltHighway
road,1174,14327,StoneRoad
road,1197,14463,AncientAsphaltHighway
road,1197,14465,AncientAsphaltHighway
road,1241,14727,DirtPath
road,1241,14731,DirtPath
road,1292,15032,DirtRoad
road,1292,15035,DirtRoad
road,1307,15122,DirtRoad
road,1307,15125,DirtRoad
road,1308,15130,StoneRoad
road,1308,15132,StoneRoad
road,1321,15206,StoneRoad
road,1321,15209,StoneRoad
road,1349,15374,AncientAsphaltHighway
road,1349,15377,AncientAsphaltHighway
road,1351,15388,AncientAsphaltHighway
road,1351,15390,AncientAsphaltHighway
road,1417,15785,DirtRoad
road,1505,16310,AncientAsphaltHighway
road,1505,16312,AncientAsphaltHighway
road,1528,16449,AncientAsphaltHighway
road,1528,16452,AncientAsphaltHighway
road,1577,16742,DirtRoad
road,1577,16745,DirtRoad
road,1599,16875,DirtRoad
road,1599,16876,DirtRoad
road,1600,16882,DirtRoad
road,1600,16885,DirtRoad
road,1603,16899,StoneRoad
road,1603,16903,StoneRoad
road,1604,16904,StoneRoad
road,1604,16906,StoneRoad
road,1607,16922,DirtRoad
road,1607,16923,DirtRoad
road,1607,16925,DirtRoad
road,1621,17007,DirtRoad
road,1621,17009,DirtRoad
road,1654,17204,StoneRoad
road,1654,17207,DirtRoad
road,1654,17209,StoneRoad
road,1660,17243,StoneRoad
road,1660,17244,StoneRoad
road,1664,17266,StoneRoad
road,1664,17267,StoneRoad
road,1665,17271,StoneRoad
road,1665,17273,StoneRoad
road,1665,17275,StoneRoad
road,1677,17343,StoneRoad
road,1677,17347,StoneRoad
road,1711,17547,AncientAsphaltHighway
road,1711,17549,AncientAsphaltHighway
road,1722,17614,AncientAsphaltHighway
road,1722,17617,AncientAsphaltHighway
road,1752,17794,DirtRoad
road,1769,17897,AncientAsphaltHighway
road,1769,17899,AncientAsphaltHighway
road,1771,17907,AncientAsphaltHighway
road,1771,17910,AncientAsphaltHighway
road,1793,18039,DirtPath
road,1793,18041,DirtPath
road,1794,18045,DirtPath
road,1794,18048,DirtPath
road,1797,18062,DirtPath
road,1797,18067,DirtPath
road,1821,18206,DirtPath
road,1821,18208,DirtPath
road,1821,18211,DirtPath
road,1825,18232,DirtRoad
road,1825,18234,DirtRoad
road,1827,18242,DirtRoad
road,1827,18245,DirtRoad
road,1827,18246,DirtRoad
road,1831,18267,StoneRoad
road,1831,18270,StoneRoad
road,1835,18293,DirtPath
road,1835,18295,DirtPath
road,1851,18386,DirtRoad
road,1851,18389,DirtRoad
road,1979,19155,StoneRoad
road,1979,19157,StoneRoad
road,1986,19196,DirtRoad
road,1986,19197,DirtRoad
road,1986,19199,DirtRoad
road,1987,19203,DirtRoad
road,1987,19205,DirtRoad
road,2035,19493,DirtRoad
road,2035,19494,DirtRoad
road,2038,19509,DirtPath
road,2038,19512,DirtPath
road,2039,19514,DirtPath
road,2039,19515,DirtPath
road,2039,19516,DirtPath
road,2060,19641,DirtPath
road,2060,19642,DirtPath
road,2061,19647,DirtPath
road,2061,19650,DirtPath
road,2062,19652,DirtRoad
road,2062,19654,DirtRoad
road,2065,19672,DirtPath
road,2065,19675,DirtPath
road,2113,19961,AncientAsphaltHighway
road,2139,20116,AncientAsphaltHighway
road,2139,20119,AncientAsphaltHighway
road,2140,20121,AncientAsphaltHighway
road,2140,20122,AncientAsphaltHighway
road,2151,20187,DirtPath
road,2151,20188,DirtPath
road,2154,20205,DirtPath
road,2154,20206,DirtPath
road,2180,20363,DirtPath
road,2180,20365,DirtPath
road,2186,20397,DirtRoad
road,2186,20400,DirtPath
road,2187,20402,DirtPath
road,2187,20405,DirtPath
road,2190,20421,DirtPath
road,2190,20422,DirtPath
road,2234,20687,DirtRoad
road,2234,20688,DirtRoad
road,2236,20698,DirtRoad
road,2236,20700,DirtRoad
road,2246,20756,StoneRoad
road,2246,20760,StoneRoad
road,2325,21230,DirtPath
road,2325,21234,DirtPath
road,2329,21254,DirtPath
road,2329,21256,DirtPath
road,2349,21374,DirtRoad
road,2349,21379,DirtRoad
road,2353,21398,DirtRoad
road,2353,21400,DirtRoad
road,2358,21428,StoneRoad
road,2358,21431,StoneRoad
road,2358,21432,StoneRoad
road,2378,21548,AncientAsphaltHighway
road,2378,21550,AncientAsphaltHighway
road,2382,21572,DirtPath
road,2382,21576,DirtPath
road,2396,21659,DirtRoad
road,2396,21660,DirtRoad
road,2401,21686,DirtRoad
road,2401,21689,DirtRoad
road,2407,21722,DirtRoad
road,2442,7306,DirtRoad
road,2442,12217,DirtRoad
road,2446,7306,DirtRoad
road,2446,12238,DirtRoad
road,2476,12393,DirtRoad
road,2476,12417,DirtRoad
road,2506,12585,DirtPath
road,2506,12596,DirtPath
road,2507,7369,DirtPath
road,2507,12596,DirtPath
road,2507,12604,DirtPath
road,2508,7368,DirtPath
road,2508,12613,DirtPath
road,2544,7404,StoneRoad
road,2544,12829,StoneRoad
road,2549,12859,DirtPath
road,2549,12861,DirtPath
road,2550,12861,DirtPath
road,2550,12866,DirtPath
road,2561,12909,AncientAsphaltHighway
road,2561,12927,AncientAsphaltHighway
road,2568,7427,DirtPath
road,2568,12973,DirtPath
road,2568,12974,DirtPath
road,2599,13149,DirtRoad
road,2599,13155,DirtRoad
road,2607,13204,DirtRoad
road,2641,7500,DirtRoad
road,2641,13408,DirtRoad
road,2679,7539,DirtRoad
road,2679,13639,DirtRoad
road,2682,7541,DirtRoad
road,2682,7542,DirtRoad
road,2682,13658,DirtRoad
road,2684,13669,DirtPath
road,2684,13677,DirtPath
road,2686,13677,DirtPath
road,2686,13683,DirtPath
road,2726,7586,DirtPath
road,2726,13916,DirtPath
road,2730,7586,DirtPath
road,2730,13947,DirtPath
road,2765,7623,AncientAsphaltHighway
road,2765,14151,AncientAsphaltHighway
road,2789,7649,AncientAsphaltHighway
road,2789,14289,AncientAsphaltHighway
road,2912,15032,DirtRoad
road,2912,15039,DirtRoad
road,2913,15043,StoneRoad
road,2913,15051,StoneRoad
road,2919,7779,StoneRoad
road,2919,15076,StoneRoad
road,2920,7780,StoneRoad
road,2920,15086,StoneRoad
road,2971,15380,AncientAsphaltHighway
road,2971,15388,AncientAsphaltHighway
road,3124,7984,AncientAsphaltHighway
road,3124,16310,AncientAsphaltHighway
road,3149,8009,AncientAsphaltHighway
road,3149,16449,AncientAsphaltHighway
road,3196,16737,DirtRoad
road,3196,16742,DirtRoad
road,3219,8079,DirtRoad
road,3219,16875,DirtRoad
road,3220,8079,DirtRoad
road,3220,16885,DirtRoad
road,3220,16887,DirtRoad
road,3226,8086,StoneRoad
road,3226,16922,DirtRoad
road,3227,16923,DirtRoad
road,3227,16928,DirtRoad
road,3232,8093,DirtRoad
road,3232,16954,DirtRoad
road,3240,17006,DirtRoad
road,3240,17007,DirtRoad
road,3273,17199,StoneRoad
road,3273,17204,StoneRoad
road,3274,17209,StoneRoad
road,3274,17211,StoneRoad
road,3275,17211,StoneRoad
road,3275,17216,StoneRoad
road,3275,17217,StoneRoad
road,3286,8144,StoneRoad
road,3286,17281,StoneRoad
road,3288,8147,StoneRoad
road,3288,17295,StoneRoad
road,3289,17271,StoneRoad
road,3289,17295,StoneRoad
road,3341,8200,AncientAsphaltHighway
road,3341,17613,AncientAsphaltHighway
road,3342,17613,AncientAsphaltHighway
road,3342,17617,AncientAsphaltHighway
road,3380,8241,DirtRoad
road,3380,17845,DirtRoad
road,3384,8244,DirtRoad
road,3386,8247,AncientAsphaltHighway
road,3386,17881,AncientAsphaltHighway
road,3389,17899,AncientAsphaltHighway
road,3389,17901,AncientAsphaltHighway
road,3390,8250,AncientAsphaltHighway
road,3390,17901,AncientAsphaltHighway
road,3390,17907,AncientAsphaltHighway
road,3399,8260,AncientAsphaltHighway
road,3399,17956,AncientAsphaltHighway
road,3400,8260,AncientAsphaltHighway
road,3400,8261,AncientAsphaltHighway
road,3401,8261,AncientAsphaltHighway
road,3401,17961,AncientAsphaltHighway
road,3411,8271,DirtPath
road,3411,18021,DirtPath
road,3413,8272,DirtPath
road,3413,18045,DirtPath
road,3436,8297,DirtPath
road,3436,18178,DirtPath
road,3438,8298,DirtPath
road,3438,18194,DirtPath
road,3446,8306,DirtRoad
road,3446,18248,DirtRoad
road,3447,8307,DirtRoad
road,3447,8311,DirtRoad
road,3451,8311,DirtRoad
road,3451,18242,DirtRoad
road,3451,18267,StoneRoad
road,3472,8333,DirtRoad
road,3472,18386,DirtRoad
road,3473,8333,DirtRoad
road,3473,8335,DirtRoad
road,3475,8335,DirtRoad
road,3475,18411,DirtRoad
road,3593,8453,DirtRoad
road,3593,19124,DirtRoad
road,3600,8458,StoneRoad
road,3600,19165,StoneRoad
road,3607,8462,DirtRoad
road,3607,19196,DirtRoad
road,3607,19197,DirtRoad
road,3607,19203,DirtRoad
road,3638,8499,DirtRoad
road,3639,8499,DirtRoad
road,3639,19394,DirtRoad
road,3640,8501,StoneRoad
road,3640,19395,StoneRoad
road,3641,8501,StoneRoad
road,3641,19401,StoneRoad
road,3656,19501,DirtPath
road,3656,19503,DirtPath
road,3657,19503,DirtPath
road,3657,19514,DirtPath
road,3681,19641,DirtPath
road,3681,19646,DirtPath
road,3685,8544,DirtRoad
road,3685,19646,DirtPath
road,3685,19647,DirtPath
road,3685,19672,DirtPath
road,3728,8593,StoneRoad
road,3728,19935,DirtRoad
road,3730,8590,DirtRoad
road,3730,19952,DirtRoad
road,3733,8593,StoneRoad
road,3733,19959,StoneRoad
road,3771,8631,DirtPath
road,3771,20187,DirtPath
road,3775,8631,DirtPath
road,3775,20205,DirtPath
road,3783,8643,DirtPath
road,3783,20258,DirtPath
road,3784,8642,DirtPath
road,3784,20269,DirtPath
road,3810,8670,DirtPath
road,3810,20421,DirtPath
road,3811,8670,DirtPath
road,3811,20402,DirtPath
road,3816,20450,DirtPath
road,3816,20456,DirtPath
road,3867,20756,StoneRoad
road,3867,20762,StoneRoad
road,3868,8729,StoneRoad
road,3868,20762,StoneRoad
road,3868,20770,DirtRoad
road,3869,8729,StoneRoad
road,3869,20774,StoneRoad
road,3869,20776,DirtRoad
road,3944,21224,DirtPath
road,3944,21230,DirtPath
road,3949,21224,DirtPath
road,3949,21256,DirtPath
road,3986,8846,AncientAsphaltHighway
road,3986,21481,AncientAsphaltHighway
road,3991,8847,AncientAsphaltHighway
road,3991,21501,AncientAsphaltHighway
road,4000,8861,DirtPath
road,4022,8884,DirtRoad
road,4022,21699,DirtRoad
road,4023,21699,DirtRoad
road,4023,21722,DirtRoad
road,4024,8884,DirtRoad
road,4024,21706,DirtRoad
road,4035,8895,DirtRoad
road,4035,21765,DirtRoad
road,4038,8899,DirtRoad
road,4038,21790,DirtRoad
road,4070,8930,DirtRoad
road,4070,12174,DirtRoad
road,4113,8973,DirtRoad
road,4113,12239,DirtRoad
road,4114,8973,DirtRoad
road,4114,15785,DirtRoad
road,4131,8991,DirtRoad
road,4131,12217,DirtRoad
road,4138,8998,DirtRoad
road,4138,8999,DirtRoad
road,4138,12241,DirtRoad
road,4139,8999,DirtRoad
road,4139,15760,DirtRoad
road,4218,16437,AncientAsphaltHighway
road,4218,16439,AncientAsphaltHighway
road,4314,9170,DirtRoad
road,4314,16954,DirtRoad
road,4362,9222,StoneRoad
road,4362,17267,StoneRoad
road,4366,9226,StoneRoad
road,4366,17275,StoneRoad
road,4366,17297,StoneRoad
road,4367,17297,StoneRoad
road,4367,17338,StoneRoad
road,4369,9229,StoneRoad
road,4369,17346,StoneRoad
road,4371,9231,StoneRoad
road,4371,17302,StoneRoad
road,4373,9235,StoneRoad
road,4373,17198,StoneRoad
road,4376,12468,StoneRoad
road,4376,17346,StoneRoad
road,4378,9239,DirtRoad
road,4378,12481,StoneRoad
road,4378,17302,StoneRoad
road,4379,9239,DirtRoad
road,4379,17306,DirtRoad
road,4470,17951,AncientAsphaltHighway
road,4470,17956,AncientAsphaltHighway
road,4484,9349,DirtPath
road,4484,12585,DirtPath
road,4488,18021,DirtPath
road,4488,18029,DirtPath
road,4489,9349,DirtPath
road,4489,18029,DirtPath
road,4504,12607,DirtPath
road,4504,18060,DirtPath
road,4505,18060,DirtPath
road,4505,18062,DirtPath
road,4513,9372,DirtPath
road,4513,18174,DirtPath
road,4514,12612,DirtPath
road,4514,18174,DirtPath
road,4514,18175,DirtPath
road,4518,18175,DirtPath
road,4518,18178,DirtPath
road,4522,9381,DirtRoad
road,4522,18201,DirtRoad
road,4524,9383,DirtRoad
road,4524,18245,DirtRoad
road,4527,12624,DirtRoad
road,4527,12628,DirtRoad
road,4531,12628,DirtRoad
road,4531,18353,DirtRoad
road,4545,9409,DirtRoad
road,4545,12630,DirtRoad
road,4549,9409,DirtRoad
road,4549,18389,DirtRoad
road,4685,9547,StoneRoad
road,4685,19141,StoneRoad
road,4686,9546,StoneRoad
road,4686,19183,StoneRoad
road,4686,19187,DirtRoad
road,4687,9546,StoneRoad
road,4687,19145,StoneRoad
road,4722,9578,StoneRoad
road,4722,19402,StoneRoad
road,4730,9590,StoneRoad
road,4730,12828,StoneRoad
road,4742,12846,DirtPath
road,4742,12868,DirtPath
road,4744,12846,DirtPath
road,4744,19500,DirtPath
road,4809,9669,AncientAsphaltHighway
road,4809,12929,AncientAsphaltHighway
road,4810,9669,AncientAsphaltHighway
road,4810,19961,AncientAsphaltHighway
road,4814,9675,AncientAsphaltHighway
road,4814,12911,AncientAsphaltHighway
road,4818,9678,AncientAsphaltHighway
road,4818,20116,AncientAsphaltHighway
road,4842,20119,AncientAsphaltHighway
road,4842,20122,AncientAsphaltHighway
road,4876,9737,DirtPath
road,4876,12978,DirtPath
road,4877,9737,DirtPath
road,4877,20188,DirtPath
road,4882,9742,DirtPath
road,4882,20363,DirtPath
road,4884,20397,DirtRoad
road,4884,20405,DirtRoad
road,4886,12984,DirtPath
road,4886,20406,DirtPath
road,4887,12984,DirtPath
road,4887,12988,DirtPath
road,4891,12988,DirtPath
road,4891,20514,DirtPath
road,4892,9754,DirtPath
road,4892,13000,DirtPath
road,4895,9755,DirtPath
road,4895,20366,DirtPath
road,4909,20550,AncientAsphaltHighway
road,4914,20551,AncientAsphaltHighway
road,4938,20687,DirtRoad
road,4938,20698,DirtRoad
road,4949,9811,DirtRoad
road,4949,20688,DirtRoad
road,4950,9810,DirtRoad
road,4950,20770,DirtRoad
road,5030,9892,DirtPath
road,5030,13150,DirtPath
road,5031,9891,DirtPath
road,5031,13153,DirtPath
road,5032,9892,DirtPath
road,5032,21228,DirtPath
road,5033,21228,DirtPath
road,5033,21230,DirtPath
road,5035,9895,DirtPath
road,5035,21233,DirtPath
road,5056,9917,DirtRoad
road,5056,13158,DirtRoad
road,5057,9917,DirtRoad
road,5057,21374,DirtRoad
road,5074,13176,AncientAsphaltHighway
road,5074,21480,AncientAsphaltHighway
road,5098,9958,DirtRoad
road,5098,21659,DirtRoad
road,5104,13207,DirtRoad
road,5104,21660,DirtRoad
road,5105,9967,DirtRoad
road,5105,21660,DirtRoad
road,5217,13325,DirtRoad
road,5217,17794,DirtRoad
road,5265,10129,DirtPath
road,5265,13350,DirtPath
road,5269,10129,DirtPath
road,5269,18293,DirtPath
road,5274,18295,DirtPath
road,5274,18298,DirtPath
road,5275,18041,DirtPath
road,5275,18299,DirtPath
road,5294,10154,DirtRoad
road,5294,13408,DirtRoad
road,5295,10154,DirtRoad
road,5295,13409,DirtRoad
road,5295,18251,DirtRoad
road,5298,10159,DirtRoad
road,5298,18234,DirtRoad
road,5299,10159,DirtRoad
road,5299,18251,DirtRoad
road,5324,13425,DirtRoad
road,5324,13433,DirtRoad
road,5335,10195,DirtRoad
road,5335,17845,DirtRoad
road,5336,13427,DirtPath
road,5336,18091,DirtPath
road,5339,18067,DirtPath
road,5339,18091,DirtPath
road,5342,10203,DirtRoad
road,5342,13439,DirtRoad
road,5405,10266,AncientAsphaltHighway
road,5405,17870,AncientAsphaltHighway
road,5407,10267,AncientAsphaltHighway
road,5407,17881,AncientAsphaltHighway
road,5500,15919,StoneRoad
road,5529,10389,DirtRoad
road,5529,13661,DirtRoad
road,5531,10389,DirtRoad
road,5531,15798,DirtRoad
road,5562,10418,DirtPath
road,5562,20206,DirtPath
road,5568,20205,DirtPath
road,5568,20213,DirtPath
road,5569,13667,DirtPath
road,5569,20213,DirtPath
road,5590,10451,DirtPath
road,5590,21233,DirtPath
road,5613,19955,StoneRoad
road,5617,19945,DirtRoad
road,5617,19952,DirtRoad
road,5617,19955,StoneRoad
road,5618,10480,AncientAsphaltHighway
road,5618,13733,AncientAsphaltHighway
road,5619,13733,AncientAsphaltHighway
road,5619,13735,AncientAsphaltHighway
road,5632,13735,AncientAsphaltHighway
road,5813,10673,DirtPath
road,5813,20269,DirtPath
road,5816,13917,DirtPath
road,5835,10695,DirtPath
road,5835,13949,DirtPath
road,5839,10695,DirtPath
road,5839,20400,DirtPath
road,5912,10773,AncientAsphaltHighway
road,5916,10774,AncientAsphaltHighway
road,5916,20121,AncientAsphaltHighway
road,6038,14135,AncientAsphaltHighway
road,6038,16422,AncientAsphaltHighway
road,6045,14153,AncientAsphaltHighway
road,6045,17614,AncientAsphaltHighway
road,6060,10920,AncientAsphaltHighway
road,6060,17965,AncientAsphaltHighway
road,6061,10920,AncientAsphaltHighway
road,6061,14158,AncientAsphaltHighway
road,6063,14160,AncientAsphaltHighway
road,6063,14166,AncientAsphaltHighway
road,6064,10925,AncientAsphaltHighway
road,6064,14166,AncientAsphaltHighway
road,6065,10925,AncientAsphaltHighway
road,6065,16312,AncientAsphaltHighway
road,6067,10927,AncientAsphaltHighway
road,6067,16312,AncientAsphaltHighway
road,6182,11044,AncientAsphaltHighway
road,6182,14291,AncientAsphaltHighway
road,6186,11047,AncientAsphaltHighway
road,6186,16438,AncientAsphaltHighway
road,6230,14327,StoneRoad
road,6230,19483,StoneRoad
road,6232,19479,DirtRoad
road,6232,19493,DirtRoad
road,6266,11126,DirtPath
road,6270,11131,DirtPath
road,6270,20287,DirtPath
road,6291,11150,AncientAsphaltHighway
road,6291,16558,AncientAsphaltHighway
road,6296,11156,AncientAsphaltHighway
road,6296,14387,AncientAsphaltHighway
road,6298,11159,AncientAsphaltHighway
road,6298,20556,AncientAsphaltHighway
road,6317,16560,AncientAsphaltHighway
road,6353,11214,DirtPath
road,6353,21254,DirtPath
road,6358,11218,AncientAsphaltHighway
road,6412,18048,DirtPath
road,6455,19370,StoneRoad
road,6455,19375,StoneRoad
road,6474,11335,DirtRoad
road,6475,11331,DirtRoad
road,6475,16736,DirtRoad
road,6486,19392,DirtRoad
road,6527,11388,DirtPath
road,6527,18194,DirtPath
road,6581,17009,DirtRoad
road,6581,19654,DirtRoad
road,6633,11497,DirtRoad
road,6633,14732,DirtRoad
road,6634,11494,DirtRoad
road,6634,20700,DirtRoad
road,6664,20775,StoneRoad
road,6679,16925,DirtRoad
road,6679,21791,DirtRoad
road,6690,16944,DirtRoad
road,6717,14827,DirtRoad
road,6717,16931,DirtRoad
road,6722,14826,DirtRoad
road,6722,14831,DirtRoad
road,6730,14833,DirtRoad
road,6730,17002,DirtRoad
road,6738,19675,DirtPath
road,6738,19680,DirtPath
road,6749,21684,DirtRoad
road,6749,21686,DirtRoad
road,6937,11797,DirtRoad
road,6937,17322,DirtRoad
road,6940,17323,DirtRoad
road,6940,17333,DirtRoad
road,6941,17333,DirtRoad
road,6941,18359,DirtRoad
road,6954,11815,StoneRoad
road,6954,18270,StoneRoad
road,6969,15077,StoneRoad
road,6969,17219,StoneRoad
road,6977,11837,StoneRoad
road,6977,17221,StoneRoad
road,6979,17232,StoneRoad
road,6979,17243,StoneRoad
road,6991,15088,StoneRoad
road,6991,19157,StoneRoad
road,6994,11855,StoneRoad
road,6994,19145,StoneRoad
road,7001,11863,StoneRoad
road,7001,17244,StoneRoad
road,7003,11863,StoneRoad
road,7003,19199,StoneRoad
road,7004,11869,DirtRoad
road,7004,15105,DirtRoad
road,7009,11869,DirtRoad
road,7009,19205,DirtRoad
road,7017,11877,DirtRoad
road,7017,15125,DirtRoad
road,7019,11877,DirtRoad
road,7019,19124,DirtRoad
road,7020,11880,DirtRoad
road,7020,21400,DirtRoad
road,7029,15120,StoneRoad
road,7029,15130,StoneRoad
road,7037,17281,StoneRoad
road,7037,17284,StoneRoad
road,7038,11894,StoneRoad
road,7038,21431,StoneRoad
road,7039,17284,StoneRoad
road,7039,21432,StoneRoad
road,7067,11927,StoneRoad
road,7067,18410,DirtRoad
road,7067,18414,StoneRoad
road,7086,11947,StoneRoad
road,7086,17338,StoneRoad
road,7104,11965,DirtRoad
road,7104,19494,DirtRoad
road,7226,12087,StoneRoad
road,7226,17538,StoneRoad
road,7227,12087,StoneRoad
road,7227,15328,StoneRoad
road,7228,12086,StoneRoad
road,7250,12110,StoneRoad
road,7250,12111,StoneRoad
road,7250,15329,StoneRoad
road,7253,12113,StoneRoad
road,7253,19165,StoneRoad
road,7255,12110,StoneRoad
road,7255,19212,StoneRoad
road,7288,15390,AncientAsphaltHighway
road,7288,21034,AncientAsphaltHighway
road,7368,7369,DirtPath
road,7400,7405,StoneRoad
road,7400,12807,StoneRoad
road,7404,7405,StoneRoad
